Title,Domestic_Total_Gross,UK_Total_Gross,Actors,Country,British,Genre,Budget
Blades of Glory,118594548,11883906,"Nick Swardson, Will Ferrell, Craig T. Nelson, Amy Poehler, Jon Heder, William Fichtner, Will Arnett, Jenna Fischer",USA,0,Comedy,61000000
Blended,46294610,3309053,"Joel McHale, Adam Sandler, Drew Barrymore, Bella Thorne",USA,0,Comedy,40000000
Blood and Chocolate,3526847,290058,"Agnes Bruckner, Hugh Dancy, Olivier Martinez, Katja Riemann","USA, UK, Germany, Romania",1,Horror,
Blue Jasmine,33405481,8367912,"Sally Hawkins, Louis C.K., Cate Blanchett, Bobby Cannavale, Alec Baldwin, Michael Stuhlbarg, Peter Sarsgaard",USA,1,Comedy,
Blue Valentine,9706328,1036873,"Michelle Williams, Mike Vogel, Ryan Gosling",USA,0,Drama,1000
Boat Trip,8600126,1572461,"Cuba Gooding, Jr., Will Ferrell*","USA, Germany",0,Comedy,20000000
Bobby,11242801,1582346,"William H. Macy, Freddy Rodriguez, Mary Elizabeth Winstead, Nick Cannon, Laurence Fishburne, Lindsay Lohan, Kip Pardue, Emilio Estevez, Sharon Stone, Elijah Wood, Martin Sheen, Helen Hunt, Heather Graham, Demi Moore, Joy Bryant, James Marsden, Joshua Jackson, Anthony Hopkins, Ashton Kutcher, Christian Slater, Shia LaBeouf",USA,1,Drama,
Body of Lies,39394666,4419345,"Russell Crowe, Leonardo DiCaprio, Mark Strong","USA, UK",1,Drama,70000000
Bolt,114053579,26755584,", John Travolta, Nick Swardson, Malcolm McDowell , (Voice), Susie Essman , Miley Cyrus, Chloe Moretz*",USA,0,Animation,150000000
Boogeyman,46752382,4091220,"Barry Watson, Emily Deschanel, Skye McCole Bartusiak, Tory Mussett","USA, New Zealand, Germany",0,Horror,20000000
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,128505958,46071934,Sacha Baron Cohen,"USA, UK",0,Comedy,18000000
Boyhood,25352281,4840251,"Ethan Hawke, Patricia Arquette",USA,0,Drama,4000000
Brave,237283207,34789692,", Craig Ferguson , (Voice), Julie Walters , Kelly Macdonald , Emma Thompson",USA,1,Animation,185000000
Breach,33231264,743797,"Laura Linney, Chris Cooper, Ryan Phillippe",USA,0,Drama,
Brick,2075743,1330381,"Emilie de Ravin, Joseph Gordon-Levitt, Lukas Haas",USA,0,Drama,
Bridesmaids,169106725,37214799,"Maya Rudolph, Rebel Wilson*, Kristen Wiig, Ellie Kemper, Melissa McCarthy, Jon Hamm, Wendi McLendon-Covey, Rose Byrne",USA,0,Comedy,32500000
Bridge to Terabithia,82272442,9582864,"AnnaSophia Robb, Robert Patrick, Zooey Deschanel, Josh Hutcherson","USA, New Zealand",0,Fantasy,
Bringing Down the House,132716677,5786550,"Steve Martin, Queen Latifah",USA,0,Comedy,33000000
Brokeback Mountain,83043761,17957778,"Michelle Williams, Randy Quaid, Jake Gyllenhaal, Heath Ledger, Anna Faris*, Anne Hathaway","USA, Canada",0,Western,14000000
Broken Flowers,13744960,3429873,"Tilda Swinton*, Chloe Sevigny*, Julie Delpy, Jeffrey Wright, Sharon Stone, Bill Murray","USA, France",0,Comedy,
Brooklyn's Finest,27163593,1903596,"Don Cheadle, Wesley Snipes, Ethan Hawke, Richard Gere",USA,0,Action,17000000
Brother Bear,85336277,10612646,"(Voice), Joaquin Phoenix*, Michael Clarke Duncan*",USA,0,Animation,
Brothers,28544157,1611026,"Jake Gyllenhaal, Tobey Maguire, Natalie Portman, Carey Mulligan*",USA,0,Drama,26000000
Bruce Almighty,242829261,37412900,"Jim Carrey, Morgan Freeman, Steve Carell, Jennifer Aniston",USA,0,Comedy,81000000
Bruno,60054530,25793264,Sacha Baron Cohen,USA,0,Comedy,
Bulletproof Monk,23358708,3208230,"Yun-Fat Chow, Seann William Scott, Jaime King, Karel Roden","USA, Canada",0,Action,52000000
Burlesque,39440655,2515180,"Eric Dane, Dianna Agron, Cher, Cam Gigandet, Kristen Bell, Christina Aguilera, Peter Gallagher, Stanley Tucci, Alan Cumming, Julianne Hough",USA,1,Drama,55000000
Burn After Reading,60355347,12712811,"Brad Pitt, Frances McDormand, George Clooney, Tilda Swinton, John Malkovich","USA, UK, France",1,Comedy,37000000
Cabin Fever,21158188,4792578,"Rider Strong, Jordan Ladd, James DeBello, Cerina Vincent",USA,0,Horror,1500000
Cache,3647381,2667906,"Carla Jo Bailey, Ylfa Edelstein, Noelle Grant, Ave Maria Green",USA,0,Drama,
Camp,1629862,897861,Anna Kendrick*,USA,0,Comedy,
Capote,28750530,2829014,"Chris Cooper, Catherine Keener, Amy Ryan, Clifton Collins, Jr., Philip Seymour Hoffman","USA, Canada",0,Drama,7000000
Captain America: The First Avenger,176654505,585504,"Derek Luke, Neal McDonough, Dominic Cooper, Samuel L. Jackson*, Chris Evans, Hugo Weaving, Hayley Atwell, Toby Jones, Tommy Lee Jones, Stanley Tucci, Sebastian Stan",USA,1,Action,140000000
Captain America: The Winter Soldier,259766572,32230026,"Frank Grillo, Toby Jones*, Samuel L. Jackson, Chris Evans, Scarlett Johansson, Robert Redford, Hayley Atwell, Emily VanCamp*, Sebastian Stan, Anthony Mackie, Cobie Smulders",USA,1,Action,170000000
Captain Phillips,107100855,25642369,"Tom Hanks, Catherine Keener",USA,0,Drama,55000000
Captivity,2626800,1599336,"Elisha Cuthbert, Daniel Gillies, Pruitt Taylor Vince, Michael Harney","USA, Russia",0,Horror,
Capturing the Friedmans,3119113,435442,"Arnold Friedman, Elaine Friedman, David Friedman, Seth Friedman",USA,0,Documentary,
Carrie,35266619,2893937,"Portia Doubleday, Judy Greer, Julianne Moore, Gabriella Wilde, Chloe Moretz, Ansel Elgort",USA,0,Horror,30000000
Cars,244082982,30858370,"Larry the Cable Guy, Bonnie Hunt, (Voice), Paul Newman, Owen Wilson, Michael Keaton*",USA,0,Animation,120000000
Casanova,11304403,1998984,"Sienna Miller, Lena Olin, Jeremy Irons, Oliver Platt, Heath Ledger",USA,1,Comedy,
Catwoman,40202379,2562405,"Sharon Stone, Halle Berry, Benjamin Bratt",USA,0,Action,100000000
Cellular,32003620,1914470,"Jason Statham, William H. Macy, Jessica Biel, Kim Basinger, Chris Evans","USA, Germany",1,Thriller,25000000
Changeling,35739802,7565982,"Angelina Jolie, Colm Feore, Amy Ryan, Jeffrey Donovan, John Malkovich",USA,0,Thriller,55000000
Changing Lanes,66818548,4395522,"Sydney Pollack, Toni Collette, Amanda Peet, Samuel L. Jackson, Ben Affleck",USA,0,Thriller,45000000
Chappie,31338504,3542889,"Dev Patel, Sharlto Copley, (Voice), Sigourney Weaver, Hugh Jackman","USA, Mexico",1,Action,49000000
Charlie Bartlett,3951699,388748,"Kat Dennings, Hope Davis, Robert Downey, Jr., Anton Yelchin",USA,0,Comedy,12000000
